RuleName,RuleConditions,RuleActions
Zelle Jpm B Money out as PersEntertainment CHASE SECURE BANKING (9266) - 1,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Zelle Jpm B""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":8,""value"":true},{""actionType"":11,""value"":[]},{""actionType"":0,""value"":""PersExp:PersEntertainment""}]}"
ATM Cash Deposit,"{""ruleConditions"":[{""ruleType"":10,""value"":""1""},{""ruleType"":1,""value"":""ATM Cash Deposit""},{""ruleType"":6,""value"":""ATM Cash Deposit""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""Undeposited Funds""},{""actionType"":7,""value"":""26""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Interest Earned Money in as PersIncomeInterest SoFi Savings (6973) - 2,"{""ruleConditions"":[{""ruleType"":10,""value"":""1""},{""ruleType"":1,""value"":""Interest Earned""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":8,""value"":true},{""actionType"":11,""value"":[]},{""actionType"":0,""value"":""Personal Interest""}]}"
DoorDash - SchCMeals,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Dd Doordash""},{""ruleType"":6,""value"":""Dd Doordash""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""SchC Expenses:SchCMeals""},{""actionType"":5,""value"":""DoorDash""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
CashApp - Transfers,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":6,""value"":""Cash App""},{""ruleType"":1,""value"":""Cash App""},{""ruleType"":6,""value"":""Cash App Cody""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""CashApp""},{""actionType"":7,""value"":""26""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Direct Auto,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Direct Auto Ins""},{""ruleType"":6,""value"":""Direct Auto Ins""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""Auto:AutoInsurance""},{""actionType"":5,""value"":""Natl Gen Ins""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Dollar General,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Dollar General""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""PersExp:PersHome:PersHomeOther""},{""actionType"":5,""value"":""DoorDash""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
DoorDash - Dollar General,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""DOORDASH DOLLARGEN""},{""ruleType"":6,""value"":""DOORDASH DOLLARGEN""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""PersExp:PersFood:FoodGroceries""},{""actionType"":5,""value"":""DoorDash""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
CashApp - Loans,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Borrowing""},{""ruleType"":6,""value"":""Borrowing""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""CashApp Loan""},{""actionType"":7,""value"":""26""},{""actionType"":1,""value"":""Borrow COMPLETE Borrowing in Cash App  Cash Balance""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Jon Beder Cash Balance,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Jon Beder Cash Balance""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""PersExp:PersEntertainment""},{""actionType"":1,""value"":""#D-ENELZ8EO P2P COMPLETE grocery Jon Beder Cash Balance""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
CashApp - Afterpay,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""COMPLETE Afterpay""},{""ruleType"":6,""value"":""COMPLETE Afterpay""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""CashApp Loan""},{""actionType"":7,""value"":""26""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Doordash,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Cash Card COMPLETE DD *DOORDASH""},{""ruleType"":6,""value"":""Cash Card COMPLETE DD *DOORDASH""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""SchC Expenses:SchCMeals""},{""actionType"":5,""value"":""DoorDash""},{""actionType"":1,""value"":""Cash Card COMPLETE DD *DOORDASH PAPAJOHNS  Cash Balance""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
CashApp - Baby Joker,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Baby Joker""},{""ruleType"":1,""value"":""Baby Joker""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""PersExp:PersGifts""},{""actionType"":5,""value"":""Baby Joker""},{""actionType"":7,""value"":""3""},{""actionType"":9,""value"":""Joker""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
