file,status,legacy_hits,current_hits,current::access_boundary,current::current_services,current::no_supabase_yet,current::qiaccess_start,current::qiserver_runtime,legacy::client_portal_language,legacy::old_business_priority,legacy::old_qially_suite_language,legacy::public_exposure_risk_language
00_blueprint/standards/naming_rules.yaml,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/standards/pdf_standards.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/standards/repo_rules.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/adr_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/appendix_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/artifact_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/note_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/operational_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/page_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/README.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/templates/registry_reference_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/section_index_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/standard_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/templates.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/_Index_of_templates.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/tmp_section_folder/index.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/tmp_section_folder/tmp_section_folder.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/templates/tmp_section_folder/_Index_of_tmp_section_folder.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/assets/diagrams/diagrams.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/assets/diagrams/markmind-data.json,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/assets/images/images.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/10_reference/10_reference.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/10_reference/changelog.md,mixed_review,1,3,0,0,0,3,0,1,0,0,0
00_blueprint/08_appendices/10_reference/glossary.md,mixed_review,4,4,0,1,0,2,1,2,0,2,0
00_blueprint/08_appendices/10_reference/templates_catalog.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/10_reference/_Index_of_10_reference.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/20_legacy/20_legacy.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/20_legacy/legacy_csv_migration_plan.md,likely_stale,3,0,0,0,0,0,0,3,0,0,0
00_blueprint/08_appendices/20_legacy/legacy_salvage.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/20_legacy/migration_notes.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/20_legacy/qiaccess_start_legacy_quarantine.md,mixed_review,8,7,0,0,0,6,1,6,0,2,0
00_blueprint/08_appendices/20_legacy/_Index_of_20_legacy.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/40_labs/40_labs.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/40_labs/markmind.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/40_labs/_Index_of_40_labs.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/10_clients/10_clients.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/10_clients/clients.md,likely_stale,3,0,0,0,0,0,0,3,0,0,0
00_blueprint/07_operations/10_clients/_Index_of_10_clients.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/20_cases/20_cases.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/20_cases/cases.md,likely_stale,2,0,0,0,0,0,0,2,0,0,0
00_blueprint/07_operations/20_cases/_Index_of_20_cases.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/30_finance/30_finance.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/30_finance/finance.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/30_finance/_Index_of_30_finance.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/40_products/40_products.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/40_products/products.md,likely_stale,2,0,0,0,0,0,0,2,0,0,0
00_blueprint/07_operations/40_products/_Index_of_40_products.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/50_templates/50_templates.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/50_templates/templates.md,likely_stale,2,0,0,0,0,0,0,2,0,0,0
00_blueprint/07_operations/50_templates/_Index_of_50_templates.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/10_web/10_web.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/10_web/web.md,mixed_review,3,1,0,0,0,1,0,3,0,0,0
00_blueprint/06_applications/10_web/_Index_of_10_web.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/20_portal/20_portal.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/20_portal/portal.md,mixed_review,4,3,0,0,0,3,0,3,0,1,0
00_blueprint/06_applications/20_portal/_Index_of_20_portal.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/30_admin/30_admin.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/30_admin/admin.md,mixed_review,9,3,0,2,0,1,0,9,0,0,0
00_blueprint/06_applications/30_admin/_Index_of_30_admin.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/40_tools/40_tools.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/40_tools/tools.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/40_tools/_Index_of_40_tools.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/50_interfaces/50_interfaces.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/50_interfaces/interfaces.md,likely_stale,3,0,0,0,0,0,0,3,0,0,0
00_blueprint/06_applications/50_interfaces/_Index_of_50_interfaces.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/10_apis/10_apis.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/10_apis/apis.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/05_compute/10_apis/_Index_of_10_apis.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/20_workers/20_workers.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/20_workers/workers.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/20_workers/_Index_of_20_workers.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/30_pipelines/30_pipelines.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/30_pipelines/pipelines.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/30_pipelines/_Index_of_30_pipelines.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/40_runtime/40_runtime.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/40_runtime/qiserver_runtime_profile.md,mixed_review,1,27,0,13,0,0,14,1,0,0,0
00_blueprint/05_compute/40_runtime/runtime.md,current_or_aligned,0,1,0,1,0,0,0,0,0,0,0
00_blueprint/05_compute/40_runtime/tech_stack.md,mixed_review,1,1,0,1,0,0,0,0,0,1,0
00_blueprint/05_compute/40_runtime/_Index_of_40_runtime.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/50_integrations/50_integrations.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/50_integrations/integrations.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/05_compute/50_integrations/_Index_of_50_integrations.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/03_structure.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/50_infrastructure_layout.md,current_or_aligned,0,1,0,1,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/index.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/04_data/03_structure/_Index_of_03_structure.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/10_schema/10_schema.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/10_schema/front_matter.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/10_schema/objects.md,likely_stale,5,0,0,0,0,0,0,5,0,0,0
00_blueprint/04_data/10_schema/schema.md,likely_stale,3,0,0,0,0,0,0,3,0,0,0
00_blueprint/04_data/10_schema/_Index_of_10_schema.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/20_metadata/20_metadata.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/20_metadata/metadata.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/04_data/20_metadata/_Index_of_20_metadata.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/30_storage/30_storage.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/30_storage/exports.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/30_storage/storage.md,likely_stale,3,0,0,0,0,0,0,3,0,0,0
00_blueprint/04_data/30_storage/_Index_of_30_storage.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/40_domain_addenda/40_domain_addenda.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/40_domain_addenda/qievidence.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/04_data/40_domain_addenda/_Index_of_40_domain_addenda.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/10_bands/10_bands.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/10_bands/bands.md,likely_stale,4,0,0,0,0,0,0,4,0,0,0
00_blueprint/04_data/03_structure/10_bands/_Index_of_10_bands.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/20_domains/20_domains.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/20_domains/domains.md,likely_stale,2,0,0,0,0,0,0,2,0,0,0
00_blueprint/04_data/03_structure/20_domains/_Index_of_20_domains.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/30_namespaces/30_namespaces.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/30_namespaces/namespace_registry.md,likely_stale,7,0,0,0,0,0,0,7,0,0,0
00_blueprint/04_data/03_structure/30_namespaces/subdomains.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/30_namespaces/_Index_of_30_namespaces.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/40_objects/40_objects.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/40_objects/directory_tree.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/03_structure/40_objects/object_model.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/04_data/03_structure/40_objects/placement_rules.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/04_data/03_structure/40_objects/_Index_of_40_objects.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/10_identity/10_identity.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/10_identity/identity.md,mixed_review,11,1,0,0,0,1,0,11,0,0,0
00_blueprint/02_architecture/10_identity/_Index_of_10_identity.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/20_system/20_system.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/20_system/component_map.md,mixed_review,3,1,0,0,0,1,0,2,0,1,0
00_blueprint/02_architecture/20_system/system_model.md,mixed_review,1,4,0,1,0,2,1,1,0,0,0
00_blueprint/02_architecture/20_system/_Index_of_20_system.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/30_runtime/30_runtime.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/30_runtime/device_model.md,likely_stale,1,0,0,0,0,0,0,1,0,0,0
00_blueprint/02_architecture/30_runtime/runtime_zones.md,mixed_review,1,4,0,4,0,0,0,1,0,0,0
00_blueprint/02_architecture/30_runtime/service_boundaries.md,mixed_review,5,2,0,1,0,1,0,5,0,0,0
00_blueprint/02_architecture/30_runtime/_Index_of_30_runtime.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/40_flows/40_flows.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/40_flows/data_flow.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/40_flows/_Index_of_40_flows.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/10_foundation/principles.md,mixed_review,1,3,0,0,0,3,0,1,0,0,0
00_blueprint/01_governance/10_foundation/_Index_of_10_foundation.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/20_policy/20_policy.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/20_policy/agent_rules.md,mixed_review,1,1,0,0,0,1,0,1,0,0,0
00_blueprint/01_governance/20_policy/policies.md,mixed_review,4,3,0,0,0,3,0,4,0,0,0
00_blueprint/01_governance/20_policy/_Index_of_20_policy.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
