file,status,legacy_hits,current_hits,current::access_boundary,current::current_services,current::markdown_vault,current::no_supabase_yet,current::qiaccess_start,current::qiserver_runtime,legacy::client_portal_language,legacy::old_business_priority,legacy::old_qially_suite_language,legacy::old_stack_assumptions,legacy::public_exposure_risk_language
10_blueprint/40_compute/07_tech_stack/open_webui.md,current_or_aligned,0,6,0,1,0,0,0,5,0,0,0,0,0
10_blueprint/40_compute/07_tech_stack/paperless.md,current_or_aligned,0,8,0,4,0,0,0,4,0,0,0,0,0
10_blueprint/40_compute/07_tech_stack/portainer.md,current_or_aligned,0,8,1,3,0,0,0,4,0,0,0,0,0
10_blueprint/40_compute/07_tech_stack/qdrant.md,mixed_review,2,5,0,0,0,0,0,5,0,0,0,2,0
10_blueprint/40_compute/07_tech_stack/solidtime.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/40_compute/07_tech_stack/tailscale.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/40_compute/07_tech_stack/uptime_kuma.md,current_or_aligned,0,5,0,0,0,0,0,5,0,0,0,0,0
10_blueprint/40_compute/07_tech_stack/wikijs.md,current_or_aligned,0,6,0,2,0,0,0,4,0,0,0,0,0
10_blueprint/40_compute/_index.md,mixed_review,2,1,0,0,0,0,0,1,0,0,0,2,0
10_blueprint/50_applications/01_portal.md,mixed_review,4,5,0,1,0,0,4,0,3,0,1,0,0
10_blueprint/50_applications/02_admin.md,mixed_review,14,3,0,2,0,0,1,0,9,0,4,1,0
10_blueprint/50_applications/03_tools.md,mixed_review,4,12,0,7,0,1,0,4,0,0,0,4,0
10_blueprint/50_applications/04_interfaces.md,mixed_review,6,1,0,1,0,0,0,0,3,0,1,2,0
10_blueprint/50_applications/05_obsidian_qidocs.md,current_or_aligned,0,8,0,1,7,0,0,0,0,0,0,0,0
10_blueprint/50_applications/_index.md,mixed_review,3,2,0,0,0,0,2,0,2,0,1,0,0
10_blueprint/60_operations/01_cases.md,likely_stale,3,0,0,0,0,0,0,0,2,0,1,0,0
10_blueprint/60_operations/02_templates.md,likely_stale,3,0,0,0,0,0,0,0,2,0,0,1,0
10_blueprint/60_operations/03_qiserver_setup_runbook.md,current_or_aligned,0,59,3,37,0,0,0,19,0,0,0,0,0
10_blueprint/60_operations/_index.md,current_or_aligned,0,1,0,0,0,0,1,0,0,0,0,0,0
10_blueprint/70_appendices/01_changelog.md,mixed_review,2,3,0,0,0,0,3,0,1,0,1,0,0
10_blueprint/70_appendices/02_glossary.md,mixed_review,5,5,0,1,0,0,3,1,2,0,3,0,0
10_blueprint/70_appendices/03_migration_notes.md,likely_stale,5,0,0,0,0,0,0,0,0,0,1,4,0
10_blueprint/70_appendices/04_legacy_csv_migration_plan.md,likely_stale,16,0,0,0,0,0,0,0,3,0,7,6,0
10_blueprint/70_appendices/05_legacy_salvage.md,likely_stale,1,0,0,0,0,0,0,0,0,0,1,0,0
10_blueprint/70_appendices/06_qiaccess_start_legacy_quarantine.md,mixed_review,10,8,0,0,0,0,7,1,7,0,3,0,0
10_blueprint/70_appendices/07_superseded_sources/qi_os_home_blueprint.md,reference_or_audit,1,10,0,1,0,0,8,1,1,0,0,0,0
10_blueprint/70_appendices/07_superseded_sources/QiAccess_Start_Blueprint.md,reference_or_audit,0,6,0,2,0,0,4,0,0,0,0,0,0
10_blueprint/70_appendices/07_superseded_sources/README.md,reference_or_audit,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/70_appendices/07_superseded_sources/tech_stack_markmind.md,reference_or_audit,6,2,0,2,0,0,0,0,0,0,0,6,0
10_blueprint/_index.md,mixed_review,1,14,0,1,2,0,8,3,1,0,0,0,0
10_blueprint/adr/ADR-0000_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/adr/ADR-0001_blueprint_scope.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/adr/ADR-0002_single_domain_rule.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/adr/ADR-0003_band_model.md,likely_stale,1,0,0,0,0,0,0,0,0,0,1,0,0
10_blueprint/adr/ADR-0004_single_account_modular_mode.md,likely_stale,21,0,0,0,0,0,0,0,18,0,3,0,0
10_blueprint/adr/ADR-0005_fleet_orchestration.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/adr/ADR-0006_narrative_and_knowledge_consolidation.md,likely_stale,1,0,0,0,0,0,0,0,0,0,1,0,0
10_blueprint/adr/ADR-0007_unified_front_matter_and_progressive_doc_topology.md,likely_stale,3,0,0,0,0,0,0,0,0,0,0,3,0
10_blueprint/adr/ADR-0008_qilabs_root.md,likely_stale,2,0,0,0,0,0,0,0,0,0,2,0,0
10_blueprint/adr/ADR-0009_backup_server_control_plane_and_public_edge_pattern.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/adr/adr.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/assets/assets.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/assets/diagrams/blueprint_map.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/assets/diagrams/diagrams.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/assets/diagrams/markmind-data.json,likely_stale,1,0,0,0,0,0,0,0,0,0,0,1,0
10_blueprint/assets/images/images.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/file-index.json,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/README.md,mixed_review,6,6,0,0,0,0,6,0,3,1,1,1,0
10_blueprint/registry/band_registry.yaml,likely_stale,3,0,0,0,0,0,0,0,2,0,1,0,0
10_blueprint/registry/deprecation_registry.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/registry/domain_registry.yaml,mixed_review,7,3,0,0,0,1,1,1,3,0,3,1,0
10_blueprint/registry/folder_registry.yaml,current_or_aligned,0,1,0,0,1,0,0,0,0,0,0,0,0
10_blueprint/registry/infrastructure_registry.yaml,current_or_aligned,0,2,0,0,0,0,0,2,0,0,0,0,0
10_blueprint/registry/realms_registry.yaml,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/registry/sensitivity_classification.yaml,likely_stale,2,0,0,0,0,0,0,0,2,0,0,0,0
