Record Id,S.NO,OrderedItems Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Last Activity Time,Layout.id,Parent.id,Currency,Exchange Rate,Product Name.id,Description,Quantity,Price Book.id,List Price,Amount,Discount,Total After Discount,Tax,Total
zcrm_6789162000001749473,1,zcrm_6789162000000560001,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-02 18:47:42,2025-06-02 18:47:42,,zcrm_6789162000000233836,zcrm_6789162000001749471,USD,1.000000000,zcrm_6789162000001630169,,4.0,,39.0,156,0.0,156,0.0,156
zcrm_6789162000002667060,2,zcrm_6789162000000560001,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-07-11 19:15:47,2025-07-11 19:15:47,,zcrm_6789162000000233836,zcrm_6789162000002667058,USD,1.000000000,zcrm_6789162000002321247,Enhance your printing and scanning needs with DocEZ's custom cuts—precision service designed for quality and professional results.,1.0,,39.0,39,0.0,39,0.0,39
zcrm_6789162000002667062,3,zcrm_6789162000000560001,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-07-11 19:15:47,2025-07-11 19:15:47,,zcrm_6789162000000233836,zcrm_6789162000002667058,USD,1.000000000,zcrm_6789162000002321228,"""Prepare legal documents effortlessly with DocEZ—your trusted partner for efficient, compliant, and cost-effective legal solutions.""",1.0,,49.0,49,0.0,49,0.0,49
zcrm_6789162000002667064,4,zcrm_6789162000000560001,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-07-11 19:15:47,2025-07-11 19:15:47,,zcrm_6789162000000233836,zcrm_6789162000002667058,USD,1.000000000,zcrm_6789162000001630169,,2.0,,39.0,78,0.0,78,0.0,78
zcrm_6789162000002667066,1,zcrm_6789162000000560001,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-07-11 19:15:47,2025-07-11 19:15:47,,zcrm_6789162000000233836,zcrm_6789162000002667058,USD,1.000000000,zcrm_6789162000002321233,"""Enhance your legal processes with DocEZ Notary services—affordable, efficient, and designed for seamless document management.""",1.0,,10.0,10,0.0,10,0.0,10
